SKU,Lines,LooseUOH1Lines,LooseUOH1sperLooseUOH1Lines,FullUOH2Lines,FullUOH2sperFullUOH2Lines,FullUOH3Lines,FullUOH3sperFullUOH3Lines,ShipDate,1,2,3,4,A,C,M,P,R
CBIN006400,1.0986122886681098,0.3333333333333333,1.0,0.6666666666666666,15.0,0.0,0.0,3,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006400X,0.6931471805599453,0.5,7.0,1.0,14.5,0.0,0.0,2,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006415,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006415X,0.6931471805599453,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006487X,2.4849066497880004,0.08333333333333333,7.0,1.0,12.333333333333334,0.4166666666666667,1.6,10,0.0,0.9166666666666666,0.08333333333333333,0.0,0,1,0,0,0
CBIN006527X,3.58351893845611,0.3611111111111111,4.538461538461538,0.6111111111111112,4.318181818181818,0.6666666666666666,1.3333333333333333,19,0.0,0.8888888888888888,0.1111111111111111,0.0,0,1,0,0,0
CBIN006530X,2.70805020110221,0.06666666666666667,2.0,1.0,3.8,0.0,0.0,14,0.0,0.9333333333333333,0.06666666666666667,0.0,0,1,0,0,0
CBIN006532,1.9459101490553132,0.8571428571428571,3.0,0.5714285714285714,5.0,0.0,0.0,5,0.0,0.8571428571428571,0.14285714285714285,0.0,0,1,0,0,0
CBIN006537X,1.6094379124341003,0.4,4.0,1.0,3.8,0.0,0.0,5,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006540X,3.7376696182833684,0.047619047619047616,5.5,0.38095238095238093,5.4375,0.6904761904761905,1.0,28,0.0,0.9523809523809523,0.047619047619047616,0.0,0,1,0,0,0
CBIN006541X,2.8903717578961645,0.3333333333333333,3.6666666666666665,0.5,3.4444444444444446,0.5555555555555556,1.0,10,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006550X,0.6931471805599453,0.5,4.0,1.0,6.0,0.5,3.0,2,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006574X,2.4849066497880004,0.3333333333333333,3.75,0.6666666666666666,5.5,0.9166666666666666,2.5454545454545454,11,0.0,0.8333333333333334,0.16666666666666666,0.0,0,1,0,0,0
CBIN006583X,0.6931471805599453,0.5,2.0,1.0,11.0,0.5,1.0,2,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006591X,0.6931471805599453,0.5,1.0,1.0,5.5,1.0,5.5,1,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006592X,1.0986122886681098,1.0,5.0,0.6666666666666666,9.0,0.3333333333333333,5.0,3,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006593X,1.791759469228055,0.5,2.6666666666666665,0.8333333333333334,6.6,0.8333333333333334,3.2,5,0.0,1.0,0.0,0.0,0,1,0,0,0
CBIN006594X,0.6931471805599453,0.5,7.0,1.0,11.0,0.5,1.0,2,0.0,1.0,0.0,0.0,0,1,0,0,0
